DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
03/01/2020,160051,158798,33764,26454,36700,37466,21106,1972,1302
04/01/2020,162221,142319,34203,5221,38221,41351,20230,1804,1263
05/01/2020,155160,153202,34208,30315,34097,32380,20134,736,1310
06/01/2020,176679,196711,33681,56708,38372,40054,24970,1333,1532
07/01/2020,184795,188749,34094,35312,40281,41631,33693,2187,1556
08/01/2020,196414,179576,33692,21269,41519,43782,35100,2577,1626
09/01/2020,205485,177013,33800,9439,47893,45314,37170,1744,1648
10/01/2020,186789,167549,33833,7472,42352,45420,34286,2524,1631
11/01/2020,173981,163261,34210,13950,33201,44848,33676,1763,1585
12/01/2020,161575,160571,34241,20659,29085,42957,30567,1480,1555
13/01/2020,186999,170111,33302,13449,37921,46825,34945,1989,1658
14/01/2020,193092,164228,34193,465,37492,46160,42298,1922,1666
15/01/2020,195352,171064,34014,4443,37507,46718,44780,1972,1611
16/01/2020,197810,169957,33894,2416,37498,47083,46028,1507,1481
17/01/2020,196728,176179,33938,7252,40784,48458,43012,1104,1602
18/01/2020,183195,167550,34117,3255,35540,48631,43175,1198,1617
19/01/2020,169156,168307,34136,12654,30176,47433,41824,406,1656
20/01/2020,190574,184589,33827,28260,33463,46303,39308,1742,1665
21/01/2020,194185,187947,33963,34464,33541,44900,37333,2156,1574
22/01/2020,192286,201815,33785,50055,30929,44996,37786,2647,1603
23/01/2020,190851,203023,33964,50980,31665,44572,37086,3116,1615
24/01/2020,176109,180003,34223,19829,34567,46127,40124,3535,1591
25/01/2020,170663,176473,34207,21817,34121,44256,37177,3323,1542
26/01/2020,159864,153451,34204,2384,26580,46409,39782,2517,1562
27/01/2020,185534,174684,33721,4261,40271,48876,44612,1364,1560
28/01/2020,186408,172440,34136,14344,29623,46552,43997,2201,1563
29/01/2020,186494,183385,33898,29638,31144,44537,40473,2281,1372
30/01/2020,183045,164049,33637,15371,29002,43993,37843,2827,1352
31/01/2020,186346,188536,33890,34498,31561,46269,39202,1532,1552
01/02/2020,167308,170408,34199,16974,29941,46681,38170,2919,1495
02/02/2020,152558,170078,34219,45937,21266,32635,31484,2990,1523
03/02/2020,176441,181704,33935,35478,31760,41648,35583,1728,1547
04/02/2020,185550,160431,34115,25985,28781,33772,35286,923,1551
05/02/2020,184410,182427,33980,46326,31997,37310,30500,639,1648
06/02/2020,185350,187835,33681,40803,35789,45071,29080,1733,1656
07/02/2020,189194,180341,33967,40888,39435,39666,22675,2016,1676
08/02/2020,177557,172702,34165,33207,36963,41166,22590,3052,1538
09/02/2020,161784,145464,34149,10105,34891,38587,21899,4237,1570
10/02/2020,186350,182097,33855,45759,37176,39453,21709,2464,1665
